               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.017633,            0.010922,                   0,             0.86365,             0.87824,             0.90906,             0.66171,            0.021536,           0.0092264,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.017499,            0.010701,                   0,             0.87146,             0.87035,             0.89588,             0.64734,            0.021367,           0.0095718,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.017304,             0.01063,                   0,             0.87521,             0.87599,             0.90853,              0.6615,            0.021501,           0.0095185,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.017151,            0.010571,                   0,             0.85521,             0.88162,             0.90111,              0.6573,            0.021546,           0.0097057,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.016592,            0.010381,                   0,             0.87273,             0.87454,             0.90097,             0.66059,            0.021653,            0.009853,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.016093,            0.010327,                   0,             0.86263,             0.86584,              0.8998,              0.6656,            0.021146,            0.009786,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.015934,            0.010011,                   0,             0.86965,             0.86102,             0.89704,              0.6632,            0.021141,            0.009874,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.01557,            0.010011,                   0,             0.87755,             0.87359,              0.8945,             0.65647,            0.020939,           0.0098685,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.015698,             0.00975,                   0,             0.88688,             0.85832,             0.89305,             0.66027,            0.021305,             0.01021,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.015408,           0.0096333,                   0,             0.86099,             0.88475,             0.89644,             0.66157,            0.021208,           0.0099141,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.015192,           0.0095846,                   0,             0.86153,             0.88275,             0.89574,             0.66729,            0.020926,           0.0099678,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.014757,           0.0095226,                   0,             0.88393,             0.86667,             0.90196,             0.67271,            0.020914,           0.0099595,                   0,            0.000496,            0.000496,            0.000496
